               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.019944,            0.040697,            0.011666,             0.95752,               0.945,             0.97706,             0.89305,            0.011037,            0.023957,           0.0077326,            0.007624,            0.007624,            0.007624
                  38,             0.01899,            0.038263,            0.011174,             0.94826,             0.95028,              0.9799,             0.89785,            0.011346,            0.024426,           0.0078211,            0.007558,            0.007558,            0.007558
                  39,            0.018989,            0.039355,            0.011346,             0.94425,             0.95013,             0.97819,             0.88179,            0.012884,             0.02529,           0.0079502,            0.007492,            0.007492,            0.007492
                  40,            0.019247,             0.03795,            0.010394,             0.94014,             0.94004,             0.97278,             0.89351,            0.011284,            0.023929,           0.0085699,            0.007426,            0.007426,            0.007426
                  41,            0.018871,            0.038465,            0.010774,             0.96021,             0.93337,             0.97659,             0.89814,            0.011155,            0.024334,            0.007875,             0.00736,             0.00736,             0.00736
                  42,            0.019073,            0.038272,            0.010514,             0.95239,             0.95029,             0.97978,             0.90267,            0.010893,            0.024375,            0.007607,            0.007294,            0.007294,            0.007294
                  43,            0.018579,            0.037879,            0.010684,              0.9517,             0.92889,             0.97301,             0.87742,            0.012794,            0.024999,           0.0088071,            0.007228,            0.007228,            0.007228
                  44,             0.01983,            0.038585,            0.010832,             0.94753,             0.94387,             0.97592,             0.89336,            0.011342,            0.023966,           0.0079272,            0.007162,            0.007162,            0.007162
                  45,            0.019425,            0.038711,            0.010021,             0.94476,             0.95682,              0.9819,             0.90226,            0.011339,             0.02387,           0.0070216,            0.007096,            0.007096,            0.007096
                  46,            0.018909,            0.037917,           0.0098953,             0.95352,             0.94818,             0.97958,             0.90716,           0.0098934,            0.023091,           0.0074143,             0.00703,             0.00703,             0.00703
                  47,            0.018377,            0.036162,            0.009405,             0.94997,             0.94069,              0.9763,               0.907,           0.0095716,            0.022364,           0.0080498,            0.006964,            0.006964,            0.006964
                  48,            0.017102,            0.036551,           0.0089061,             0.95155,             0.94008,             0.97425,             0.90435,            0.010288,             0.02284,           0.0077997,            0.006898,            0.006898,            0.006898
                  49,            0.017934,            0.037818,           0.0095733,             0.94511,             0.94589,               0.979,             0.90439,            0.010377,             0.02287,            0.007673,            0.006832,            0.006832,            0.006832
                  50,            0.018387,            0.036601,           0.0096413,             0.95919,             0.93403,             0.98072,             0.90847,           0.0094673,            0.022384,           0.0075145,            0.006766,            0.006766,            0.006766
                  51,            0.018072,            0.036937,           0.0098149,             0.95977,             0.94702,             0.97938,             0.91426,           0.0093277,             0.02181,           0.0073805,              0.0067,              0.0067,              0.0067
                  52,            0.018216,            0.037555,           0.0094344,             0.95559,             0.95005,              0.9834,             0.92847,           0.0089596,             0.02156,           0.0066396,            0.006634,            0.006634,            0.006634
                  53,            0.016927,            0.035898,           0.0086451,             0.96062,             0.94434,             0.98356,             0.91934,           0.0096274,            0.022351,           0.0067569,            0.006568,            0.006568,            0.006568
                  54,            0.017348,            0.036622,           0.0089465,             0.95295,             0.93547,             0.97594,             0.90863,            0.010297,            0.022363,           0.0076348,            0.006502,            0.006502,            0.006502
                  55,            0.017329,            0.036533,           0.0084372,             0.95523,             0.93946,               0.979,             0.92092,           0.0092123,            0.021545,           0.0074219,            0.006436,            0.006436,            0.006436
                  56,            0.017883,            0.036721,           0.0087804,             0.96457,             0.95474,             0.98279,             0.93156,           0.0088032,            0.021098,           0.0062787,             0.00637,             0.00637,             0.00637
                  57,            0.017643,            0.036507,           0.0085616,             0.95279,              0.9552,             0.97991,             0.93034,           0.0086076,            0.021137,           0.0066239,            0.006304,            0.006304,            0.006304
